,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,55.0,40.0,1.0,3.0,0.06976744186046512,0.75,0.5858585858585859,0.43434343434343436,0.1276595744680851,0.13067423713606613,0.5842105263157895
1,65.0,30.0,1.0,3.0,0.09090909090909091,0.75,0.6868686868686869,0.3333333333333333,0.16216216216216214,0.1813690625275029,0.6921052631578947
2,58.0,37.0,1.0,2.0,0.05128205128205128,0.6666666666666666,0.6122448979591837,0.3979591836734694,0.09523809523809523,0.0975542853903206,0.7614035087719297
3,54.0,41.0,0.0,3.0,0.06818181818181818,1.0,0.5816326530612245,0.4489795918367347,0.1276595744680851,0.1968653876669132,0.7859649122807018
4,66.0,28.0,2.0,2.0,0.06666666666666667,0.5,0.6938775510204082,0.30612244897959184,0.11764705882352941,0.08677699085016485,0.6648936170212766
5,50.0,44.0,0.0,4.0,0.08333333333333333,1.0,0.5510204081632653,0.4897959183673469,0.15384615384615385,0.21053798026662973,0.7101063829787233
6,60.0,34.0,0.0,4.0,0.10526315789473684,1.0,0.6530612244897959,0.3877551020408163,0.1904761904761905,0.25920889205435216,0.8484042553191489
7,70.0,24.0,1.0,3.0,0.1111111111111111,0.75,0.7448979591836735,0.2755102040816326,0.19354838709677416,0.21908263983395793,0.7819148936170213
8,61.0,33.0,0.0,4.0,0.10810810810810811,1.0,0.6632653061224489,0.37755102040816324,0.1951219512195122,0.26486838551367986,0.8803191489361702
9,61.0,33.0,1.0,3.0,0.08333333333333333,0.75,0.6530612244897959,0.3673469387755102,0.15,0.1637382865819519,0.7765957446808511
10,600.0,344.0,7.0,31.0,0.08379561126807147,0.8166666666666667,0.6425788497217069,0.3818697175840033,0.15133591477985875,0.18106761478215394,0.7485918253079508
