,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,92.0,3.0,1.0,3.0,0.5,0.75,0.9595959595959596,0.06060606060606061,0.6,0.5928621836148863,0.9473684210526316
1,92.0,3.0,0.0,4.0,0.5714285714285714,1.0,0.9696969696969697,0.0707070707070707,0.7272727272727273,0.7438974785860055,0.9894736842105263
2,95.0,0.0,1.0,2.0,1.0,0.6666666666666666,0.9897959183673469,0.02040816326530612,0.8,0.8122328620674136,0.9508771929824561
3,90.0,5.0,0.0,3.0,0.375,1.0,0.9489795918367347,0.08163265306122448,0.5454545454545454,0.5960395606792698,1.0
4,91.0,3.0,0.0,4.0,0.5714285714285714,1.0,0.9693877551020408,0.07142857142857142,0.7272727272727273,0.74376843799781,0.9946808510638298
5,92.0,2.0,0.0,4.0,0.6666666666666666,1.0,0.9795918367346939,0.061224489795918366,0.8,0.8077637460938354,0.9946808510638299
6,90.0,4.0,1.0,3.0,0.42857142857142855,0.75,0.9489795918367347,0.07142857142857142,0.5454545454545454,0.5435230893060919,0.9734042553191491
7,94.0,0.0,1.0,3.0,1.0,0.75,0.9897959183673469,0.030612244897959183,0.8571428571428571,0.8614553169827758,0.9867021276595744
8,92.0,2.0,1.0,3.0,0.6,0.75,0.9693877551020408,0.05102040816326531,0.6666666666666665,0.6552849052309724,0.9787234042553191
9,94.0,0.0,1.0,3.0,1.0,0.75,0.9897959183673469,0.030612244897959183,0.8571428571428571,0.8614553169827758,0.9787234042553191
10,922.0,22.0,6.0,32.0,0.6713095238095238,0.8416666666666666,0.9715007215007215,0.05496804782519068,0.7126406926406926,0.7218282897541837,0.9794634191862637
