,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,3.0,92.0,0.0,4.0,0.041666666666666664,1.0,0.0707070707070707,0.9696969696969697,0.07999999999999999,0.03627381250550058,0.7131578947368421
1,3.0,92.0,0.0,4.0,0.041666666666666664,1.0,0.0707070707070707,0.9696969696969697,0.07999999999999999,0.03627381250550058,0.8078947368421052
2,1.0,94.0,0.0,3.0,0.030927835051546393,1.0,0.04081632653061224,0.9897959183673469,0.06000000000000001,0.018043174843616918,0.8912280701754386
3,6.0,89.0,0.0,3.0,0.03260869565217391,1.0,0.09183673469387756,0.9387755102040817,0.06315789473684211,0.04538167656120387,0.9473684210526315
4,5.0,89.0,0.0,4.0,0.043010752688172046,1.0,0.09183673469387756,0.9489795918367347,0.08247422680412372,0.04783101498036294,0.8085106382978723
5,4.0,90.0,0.0,4.0,0.0425531914893617,1.0,0.08163265306122448,0.9591836734693877,0.08163265306122448,0.0425531914893617,0.9095744680851063
6,12.0,82.0,1.0,3.0,0.03529411764705882,0.75,0.15306122448979592,0.8673469387755102,0.06741573033707865,-0.0713645892041621,0.7180851063829787
7,2.0,92.0,0.0,4.0,0.041666666666666664,1.0,0.061224489795918366,0.9795918367346939,0.07999999999999999,0.029774566708770683,0.8882978723404256
8,10.0,84.0,1.0,3.0,0.034482758620689655,0.75,0.1326530612244898,0.8877551020408163,0.06593406593406594,-0.09002100735285949,0.7154255319148936
9,4.0,90.0,0.0,4.0,0.0425531914893617,1.0,0.08163265306122448,0.9591836734693877,0.08163265306122448,0.0425531914893617,0.9255319148936169
10,50.0,894.0,2.0,36.0,0.03864305426383643,0.95,0.08761080189651618,0.9470006184291899,0.07422472239345593,0.013729884452665736,0.8325074654721911
