,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,89.0,6.0,1.0,3.0,0.3333333333333333,0.75,0.9292929292929293,0.09090909090909091,0.46153846153846156,0.47044212127921137,0.9210526315789473
1,94.0,1.0,1.0,3.0,0.75,0.75,0.9797979797979798,0.04040404040404041,0.75,0.7394736842105263,0.9526315789473684
2,81.0,14.0,1.0,2.0,0.125,0.6666666666666666,0.8469387755102041,0.16326530612244897,0.21052631578947367,0.2420317649967394,0.9157894736842105
3,89.0,6.0,0.0,3.0,0.3333333333333333,1.0,0.9387755102040817,0.09183673469387756,0.5,0.5588208136374181,1.0
4,77.0,17.0,0.0,4.0,0.19047619047619047,1.0,0.826530612244898,0.21428571428571427,0.32,0.39500426427359775,1.0
5,90.0,4.0,0.0,4.0,0.5,1.0,0.9591836734693877,0.08163265306122448,0.6666666666666666,0.6918984060216639,0.9946808510638299
6,80.0,14.0,1.0,3.0,0.17647058823529413,0.75,0.8469387755102041,0.17346938775510204,0.2857142857142857,0.3140852535555076,0.901595744680851
7,77.0,17.0,1.0,3.0,0.15,0.75,0.8163265306122449,0.20408163265306123,0.24999999999999997,0.27942004078551785,0.827127659574468
8,92.0,2.0,1.0,3.0,0.6,0.75,0.9693877551020408,0.05102040816326531,0.6666666666666665,0.6552849052309724,0.9867021276595744
9,85.0,9.0,1.0,3.0,0.25,0.75,0.8979591836734694,0.12244897959183673,0.375,0.39491291419391455,0.9148936170212766
10,854.0,90.0,7.0,31.0,0.34086134453781514,0.8166666666666667,0.9011131725417441,0.12333539476396618,0.4486112396375555,0.47413741681850696,0.9414473684210526
