,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,95.0,0.0,1.0,3.0,1.0,0.75,0.98989898989899,0.030303030303030304,0.8571428571428571,0.8615030470056388,0.9881578947368421
1,95.0,0.0,1.0,3.0,1.0,0.75,0.98989898989899,0.030303030303030304,0.8571428571428571,0.8615030470056388,0.9973684210526316
2,95.0,0.0,1.0,2.0,1.0,0.6666666666666666,0.9897959183673469,0.02040816326530612,0.8,0.8122328620674136,1.0
3,93.0,2.0,0.0,3.0,0.6,1.0,0.9795918367346939,0.05102040816326531,0.7499999999999999,0.7663996483902061,0.9999999999999999
4,94.0,0.0,0.0,4.0,1.0,1.0,1.0,0.04081632653061224,1.0,1.0,1.0
5,92.0,2.0,0.0,4.0,0.6666666666666666,1.0,0.9795918367346939,0.061224489795918366,0.8,0.8077637460938354,0.9973404255319149
6,92.0,2.0,1.0,3.0,0.6,0.75,0.9693877551020408,0.05102040816326531,0.6666666666666665,0.6552849052309724,0.9920212765957447
7,94.0,0.0,1.0,3.0,1.0,0.75,0.9897959183673469,0.030612244897959183,0.8571428571428571,0.8614553169827758,0.9893617021276596
8,93.0,1.0,1.0,3.0,0.75,0.75,0.9795918367346939,0.04081632653061224,0.75,0.7393617021276596,0.9920212765957448
9,94.0,0.0,2.0,2.0,1.0,0.5,0.9795918367346939,0.02040816326530612,0.6666666666666666,0.6997023176561111,0.9973404255319149
10,937.0,7.0,8.0,30.0,0.8616666666666667,0.7916666666666666,0.9847144918573489,0.03769325912183055,0.8004761904761905,0.8065206592560251,0.9953611422172453
