,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,0.058823529411764705,1.0,1.0,1.0
1,16.0,0.0,1.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,1.0
2,15.0,1.0,1.0,0.0,0.0,0.0,0.8823529411764706,0.058823529411764705,0.0,-0.0625,0.8125
3,13.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.8235294117647058,0.17647058823529413,0.4,0.3098898934004561,0.7
4,14.0,1.0,1.0,1.0,0.5,0.5,0.8823529411764706,0.11764705882352941,0.5,0.43333333333333335,0.9666666666666667
5,13.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.8235294117647058,0.17647058823529413,0.4,0.3098898934004561,0.9
6,15.0,0.0,2.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.8333333333333333
7,12.0,3.0,2.0,0.0,0.0,0.0,0.7058823529411765,0.17647058823529413,0.0,-0.1690308509457033,0.7666666666666667
8,15.0,0.0,1.0,1.0,1.0,0.5,0.9411764705882353,0.058823529411764705,0.6666666666666666,0.6846531968814576,1.0
9,14.0,1.0,1.0,0.0,0.0,0.0,0.875,0.0625,0.0,-0.06666666666666667,0.8666666666666667
10,143.0,10.0,11.0,5.0,0.31666666666666665,0.3,0.8757352941176471,0.08860294117647058,0.29666666666666663,0.24395687994033333,0.8845833333333333
