,id,projectName,testCase,isFlaky,prediction
12,6057.0,square-okhttp,com.squareup.okhttp.internal.bitarraytest.clearbits_variablecapacity,0.0,False
29,6077.0,square-okhttp,com.squareup.okhttp.dispatchertest.cancelingreadyjobpreventsitfromstarting,0.0,False
40,6092.0,square-okhttp,com.squareup.okhttp.asyncapitest.doesnotfollow21redirects,0.0,False
44,6101.0,square-okhttp,com.squareup.okhttp.asyncapitest.postbodyretransmittedonredirect,0.0,False
53,6112.0,square-okhttp,com.squareup.okhttp.connectionpooltest.differentaddressconnectionnotreturned,0.0,False
54,6113.0,square-okhttp,com.squareup.okhttp.connectionpooltest.gettingspdyconnectionpromotesittofrontofqueue,0.0,False
70,6130.0,square-okhttp,com.squareup.okhttp.mediatypetest.testmultiplecharsets,0.0,False
72,6132.0,square-okhttp,com.squareup.okhttp.mediatypetest.testunsupportedcharset,0.0,False
76,6143.0,square-okhttp,com.squareup.okhttp.internal.http.responsecacheadaptertest.put_requestheaderspartlyunavailable,0.0,False
85,6163.0,square-okhttp,com.squareup.okhttp.internal.http.responsecacheadaptertest.put_https_extrahttpsmethods,0.0,False
87,6173.0,square-okhttp,com.squareup.okhttp.internal.http.routeselectortest.singleroute,0.0,False
90,6176.0,square-okhttp,com.squareup.okhttp.internal.http.routeselectortest.explicitdirectproxy,0.0,False
93,6179.0,square-okhttp,com.squareup.okhttp.internal.http.routeselectortest.proxyselectorreturnsmultipleproxies,0.0,False
116,6207.0,square-okhttp,com.squareup.okhttp.internal.http.urlconnectiontest.chunkedconnectionsarepooled,0.0,False
124,6216.0,square-okhttp,com.squareup.okhttp.internal.http.urlconnectiontest.fixedlengthupload_bytebybyte,0.0,True
133,6226.0,square-okhttp,com.squareup.okhttp.internal.http.urlconnectiontest.sslfallbacknotusedwhenrecycledconnectionfails,0.0,False
144,6239.0,square-okhttp,com.squareup.okhttp.internal.http.urlconnectiontest.connectviahttpproxytohttpsusinghttpsproxysystemproperty,0.0,True
152,6249.0,square-okhttp,com.squareup.okhttp.internal.http.urlconnectiontest.defaultrequestproperty,0.0,False
158,6257.0,square-okhttp,com.squareup.okhttp.internal.http.urlconnectiontest.missingchunkbody,0.0,True
161,6260.0,square-okhttp,com.squareup.okhttp.internal.http.urlconnectiontest.gzipandconnectionreusewithfixedlength,0.0,False
