,id,id,projectName,test_name,isFlaky,java_keywords,prediction
15,18.0,1.0,Alluxio-alluxio,tachyon.journaltest.tabletest,1.0,"['new', 'new', 'new', 'true', 'private', 'void', 'throws']",True
16,20.0,0.0,Alluxio-alluxio,tachyon.journaltest.manyfiletest,1.0,"['for', 'int', 'true', 'public', 'void', 'throws']",True
74,85.0,0.0,Alluxio-alluxio,tachyon.inodefoldertest.isdirectorytest,0.0,"['new', 'public', 'void']",False
76,87.0,0.0,Alluxio-alluxio,tachyon.inodefoldertest.getinodetypetest,0.0,"['new', 'public', 'void']",False
79,90.0,0.0,Alluxio-alluxio,tachyon.inodefoldertest.setnametest,0.0,"['new', 'public', 'void']",False
80,91.0,1.0,Alluxio-alluxio,tachyon.inodefoldertest.setparentidtest,0.0,"['new', 'public', 'void']",False
83,94.0,0.0,Alluxio-alluxio,tachyon.blockinfotest.generateclientblockinfotest,0.0,"['new', 'new', 'new', 'new', 'new', 'long', 'public', 'void']",False
100,113.0,1.0,Alluxio-alluxio,tachyon.masterinfotest.deletedirectorywithfilestest2,1.0,"['int', 'false', 'public', 'void', 'throws']",True
104,117.0,1.0,Alluxio-alluxio,tachyon.masterinfotest.clientfileinfoemptyfiletest,1.0,"['int', 'public', 'void', 'throws']",True
112,129.0,1.0,Alluxio-alluxio,tachyon.client.table.rawtabletest.getidtest,1.0,"['for', 'int', 'int', 'public', 'void', 'throws']",True
126,145.0,0.0,Alluxio-alluxio,tachyon.client.tachyonfstest.createrawtablewithinvalidpathexceptiontest2,1.0,"['public', 'void', 'throws']",True
132,151.0,0.0,Alluxio-alluxio,tachyon.client.tachyonfstest.renamefiletest2,1.0,"['public', 'void', 'throws']",True
134,153.0,0.0,Alluxio-alluxio,tachyon.client.tachyonfstest.lockblocktest1,1.0,"['null', 'int', 'int', 'new', 'for', 'int', 'for', 'int', 'null', 'for', 'int', 'public', 'void', 'throws']",True
138,157.0,0.0,Alluxio-alluxio,tachyon.client.tachyonfstest.unlockblocktest1,1.0,"['null', 'int', 'int', 'new', 'for', 'int', 'for', 'int', 'null', 'for', 'int', 'public', 'void', 'throws']",True
147,170.0,1.0,Alluxio-alluxio,tachyon.client.remoteblockinstreamtest.readtest3,1.0,"['for', 'int', 'int', 'if', 'instanceof', 'else', 'instanceof', 'byte', 'new', 'byte', 'if', 'else', 'if', 'instanceof', 'else', 'instanceof', 'new', 'byte', 'if', 'instanceof', 'else', 'instanceof', 'new', 'byte', 'public', 'void', 'throws']",True
149,172.0,1.0,Alluxio-alluxio,tachyon.client.remoteblockinstreamtest.readtest5,1.0,"['for', 'int', 'int', 'new', 'instanceof', 'byte', 'new', 'byte', 'int', 'while', 'int', 'public', 'void', 'throws']",True
152,175.0,1.0,Alluxio-alluxio,tachyon.client.remoteblockinstreamtest.skiptest,1.0,"['for', 'int', 'int', 'instanceof', 'if', 'instanceof', 'int', 'public', 'void', 'throws']",True
155,180.0,1.0,Alluxio-alluxio,tachyon.client.tachyonfiletest.isinmemorytest3,1.0,"['int', 'for', 'int', 'null', 'for', 'int', 'public', 'void', 'throws']",True
171,208.0,0.0,Alluxio-alluxio,tachyon.command.tfsshelltest.mkdirexistingtest,1.0,"['new', 'new', 'public', 'void', 'throws']",True
175,212.0,0.0,Alluxio-alluxio,tachyon.command.tfsshelltest.renametest,1.0,"['new', 'new', 'new', 'new', 'new', 'public', 'void', 'throws']",True
182,219.0,1.0,Alluxio-alluxio,tachyon.command.tfsshelltest.fileinfotest,1.0,"['int', 'new', 'new', 'int', 'while', 'public', 'void', 'throws']",True
191,239.0,0.0,spring-projects-spring-boot,org.springframework.boot.gradle.classifiertests.classifierinbootextension,1.0,"['this', 'new', 'this', 'public', 'void', 'throws']",True
197,251.0,0.0,spring-projects-spring-boot,org.springframework.boot.gradle.repackagingtests.repackagingdisabledwithcustomrepackagedjar,1.0,"['false', 'new', 'new', 'new', 'new', 'new', 'new', 'public', 'void']",True
201,255.0,0.0,spring-projects-spring-boot,org.springframework.boot.gradle.repackagingtests.repackagewithfiledependency,1.0,"['new', 'new', 'true', 'new', 'new', 'new', 'public', 'void', 'throws']",True
204,258.0,0.0,spring-projects-spring-boot,org.springframework.boot.gradle.installtests.cleaninstallapp,1.0,"['new', 'public', 'void', 'throws']",True
209,276.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.nullsource,0.0,"['this', 'class', 'new', 'null', 'public', 'void', 'throws']",False
211,278.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.directorysource,0.0,"['this', 'class', 'new', 'this', 'public', 'void', 'throws']",False
232,302.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.dontrecompresszips,0.0,"['new', 'this', 'class', 'class', 'final', 'this', 'this', 'class', 'class', 'this', 'new', 'new', 'public', 'void', 'throws', 'new', 'new', 'try', 'finally', 'public', 'void', 'throws']",False
277,359.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.asciibytestests.createfrombyteswithoffset,0.0,"['new', 'new', 'byte', 'public', 'void', 'throws']",False
290,377.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.inputargumentsjavaagentdetectortests.singlejavaagent,0.0,"['new', 'new', 'public', 'void', 'throws']",False
302,391.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.propertieslaunchertests.testuserspecifiedconfigpathwins,0.0,"['new', 'public', 'void', 'throws']",False
314,406.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.archive.jarfilearchivetests.geturl,0.0,"['this', 'this', 'public', 'void', 'throws']",False
317,409.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.archive.jarfilearchivetests.getfilteredarchive,0.0,"['this', 'new', 'public', 'if', 'return', 'return', 'null', 'public', 'void', 'throws']",False
320,416.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.archive.explodedarchivetests.geturl,0.0,"['this', 'new', 'this', 'public', 'void', 'throws']",False
338,439.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.getspecialresourceviaclassloader,0.0,"['new', 'new', 'this', 'public', 'void', 'throws']",False
350,451.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.getnestedjardirectory,0.0,"['this', 'this', 'false', 'this', 'public', 'void', 'throws']",False
351,452.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.getnestjarentryurl,0.0,"['this', 'this', 'this', 'public', 'void', 'throws']",False
360,462.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.cannotloadmissingjar,0.0,"['this', 'this', 'new', 'this', 'class', 'public', 'void', 'throws']",False
371,475.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.data.randomaccessdatafiletests.inputstreamreadpastend,0.0,"['this', 'this', 'this', 'this', 'public', 'void', 'throws']",False
389,495.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.data.bytearrayrandomaccessdatatests.testgetinputstream,0.0,"['byte', 'new', 'byte', 'new', 'long', 'public', 'void', 'throws']",False
391,497.0,0.0,spring-projects-spring-boot,org.springframework.boot.maven.propertiesmergingresourcetransformertests.testprocess,0.0,"['this', 'this', 'new', 'null', 'this', 'public', 'void', 'throws']",False
393,499.0,0.0,spring-projects-spring-boot,org.springframework.boot.maven.propertiesmergingresourcetransformertests.testoutput,0.0,"['this', 'this', 'new', 'null', 'new', 'new', 'this', 'public', 'void', 'throws']",False
397,503.0,0.0,spring-projects-spring-boot,org.springframework.boot.maven.runargumentstests.parsewithextraspaces,0.0,"['public', 'void']",False
444,580.0,0.0,spring-projects-spring-boot,sample.actuator.sampleactuatorapplicationtests.testmetrics,0.0,"['new', 'this', 'class', 'public', 'void', 'throws']",False
465,607.0,0.0,spring-projects-spring-boot,sample.integration.consumer.sampleintegrationapplicationtests.testvanillaexchange,0.0,"['class', 'public', 'void', 'throws']",False
468,613.0,0.0,spring-projects-spring-boot,sample.ui.samplegroovytemplateapplicationtests.testcss,0.0,"['new', 'this', 'class', 'public', 'void', 'throws']",False
471,616.0,0.0,spring-projects-spring-boot,sample.ui.samplewebuiapplicationtests.testcss,0.0,"['new', 'this', 'class', 'public', 'void', 'throws']",False
494,635.0,0.0,spring-projects-spring-boot,sample.ui.secure.samplewebsecurecustomapplicationtests.testcss,0.0,"['new', 'this', 'class', 'public', 'void', 'throws']",False
501,645.0,0.0,spring-projects-spring-boot,sample.profile.sampleprofileapplicationtests.testgoodbyeprofilefromcommandline,0.0,"['new', 'this', 'public', 'void', 'throws']",False
512,660.0,0.0,spring-projects-spring-boot,sample.ws.samplewsapplicationtests.testsendingholidayrequest,0.0,"['final', 'new', 'new', 'new', 'this', 'this', 'for', 'public', 'void']",False
522,673.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.defaulterrorattributestests.unwrapservletexception,0.0,"['new', 'new', 'new', 'this', 'this', 'this', 'false', 'this', 'this', 'class', 'public', 'void', 'throws']",False
527,679.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.httpmessageconvertersautoconfigurationtests.noobjectmappermeansnoconverter,0.0,"['this', 'class', 'this', 'this', 'class', 'this', 'class', 'this', 'class', 'public', 'void', 'throws']",False
531,683.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.httpmessageconvertersautoconfigurationtests.nogson,0.0,"['this', 'class', 'this', 'this', 'class', 'this', 'class', 'public', 'void', 'throws']",False
532,684.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.httpmessageconvertersautoconfigurationtests.defaultgsonconverter,0.0,"['this', 'class', 'class', 'this', 'class', 'class', 'public', 'void', 'throws']",False
537,691.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.dispatcherservletautoconfigurationtests.servletpath,0.0,"['this', 'new', 'this', 'new', 'this', 'class', 'class', 'this', 'this', 'this', 'class', 'this', 'class', 'public', 'void', 'throws']",False
538,692.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.dispatcherservletautoconfigurationtests.multipartconfig,0.0,"['this', 'new', 'this', 'new', 'this', 'class', 'class', 'class', 'this', 'this', 'class', 'public', 'void', 'throws']",False
553,709.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.webmvcautoconfigurationtests.resourcehandlermapping,0.0,"['this', 'new', 'this', 'class', 'class', 'class', 'class', 'this', 'new', 'public', 'void', 'throws']",False
559,715.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.webmvcautoconfigurationtests.nodateformat,0.0,"['this', 'new', 'this', 'class', 'class', 'class', 'class', 'class', 'this', 'this', 'class', 'new', 'class', 'public', 'void', 'throws']",False
578,735.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.embeddedservletcontainerautoconfigurationtests.contextalreadyhasnondispatcherservlet,0.0,"['this', 'new', 'class', 'class', 'this', 'class', 'public', 'void', 'throws']",False
