,id,id,projectName,test_name,isFlaky,java_keywords,prediction
1,235.0,0.0,spring-projects-spring-boot,org.springframework.boot.gradle.nojartests.nojar,1.0,"['this', 'new', 'this', 'new', 'public', 'void', 'throws']",True
8,244.0,0.0,spring-projects-spring-boot,org.springframework.boot.gradle.springloadedtests.springloadedcanbeusedwithgradle16,1.0,"['new', 'public', 'void', 'throws']",True
22,273.0,0.0,spring-projects-spring-boot,org.springframework.boot.gradle.customversionmanagementtests.customspringversionisused,1.0,"['public', 'void']",True
29,282.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.jarisonlyrepackagedonce,0.0,"['this', 'class', 'class', 'this', 'new', 'true', 'public', 'void', 'throws']",False
38,291.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.repackagertests.destinationisdirectory,0.0,"['this', 'class', 'class', 'new', 'this', 'this', 'class', 'this', 'this', 'public', 'void', 'throws']",False
52,315.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.mainclassfindertests.findmainclassinjar,0.0,"['this', 'class', 'class', 'this', 'class', 'class', 'this', 'public', 'void', 'throws']",False
59,322.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.tools.mainclassfindertests.usesbreadthfirstfoldersearch,0.0,"['this', 'class', 'class', 'this', 'class', 'class', 'this', 'public', 'void', 'throws']",False
70,334.0,0.0,spring-projects-spring-boot,org.springframework.boot.dependency.tools.manageddependenciesdelegatetests.override,0.0,"['this', 'public', 'void', 'throws']",False
76,342.0,1.0,spring-projects-spring-boot,org.springframework.boot.dependency.tools.pomdependenciestests.findbyartifactidmissing,0.0,"['this', 'public', 'void', 'throws']",False
78,345.0,0.0,spring-projects-spring-boot,org.springframework.boot.dependency.tools.propertiesfiledependenciestests.iterate,0.0,"['this', 'false', 'public', 'void', 'throws']",False
83,350.0,1.0,spring-projects-spring-boot,org.springframework.boot.dependency.tools.propertiesfiledependenciestests.findbyartifactidmissing,0.0,"['this', 'public', 'void', 'throws']",False
92,360.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.asciibytestests.createfromstring,0.0,"['new', 'public', 'void', 'throws']",False
97,365.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.asciibytestests.substring,0.0,"['new', 'new', 'byte', 'this', 'class', 'public', 'void', 'throws']",False
107,382.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.propertieslaunchertests.testdefaulthome,0.0,"['new', 'new', 'public', 'void']",False
112,387.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.propertieslaunchertests.testuserspecifiedjarpath,0.0,"['new', 'new', 'public', 'void', 'throws']",False
114,389.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.propertieslaunchertests.testuserspecifiedclassloader,0.0,"['class', 'new', 'new', 'public', 'void', 'throws']",False
129,407.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.archive.jarfilearchivetests.getnestedarchive,0.0,"['this', 'this', 'this', 'public', 'void', 'throws']",False
150,437.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.getmanifestentry,0.0,"['this', 'new', 'this', 'public', 'void', 'throws']",False
171,459.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.sensibletostring,0.0,"['this', 'this', 'this', 'this', 'this', 'public', 'void', 'throws']",False
172,460.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.jar.jarfiletests.verifysignedjar,0.0,"['class', 'null', 'for', 'if', 'new', 'new', 'while', 'if', 'class', 'public', 'void', 'throws']",False
181,471.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.data.randomaccessdatafiletests.intputstreamreadnullbyteswithoffset,0.0,"['this', 'class', 'this', 'null', 'this', 'null', 'public', 'void', 'throws']",False
183,473.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.data.randomaccessdatafiletests.inputsteamreadoffsetbytes,0.0,"['byte', 'new', 'byte', 'this', 'int', 'this', 'new', 'byte', 'public', 'void', 'throws']",False
190,480.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.data.randomaccessdatafiletests.subsectionnegativeoffset,0.0,"['this', 'class', 'this', 'public', 'void', 'throws']",False
203,495.0,0.0,spring-projects-spring-boot,org.springframework.boot.loader.data.bytearrayrandomaccessdatatests.testgetinputstream,0.0,"['byte', 'new', 'byte', 'new', 'long', 'public', 'void', 'throws']",False
206,498.0,0.0,spring-projects-spring-boot,org.springframework.boot.maven.propertiesmergingresourcetransformertests.testmerge,0.0,"['this', 'new', 'null', 'this', 'new', 'null', 'this', 'public', 'void', 'throws']",False
264,586.0,0.0,spring-projects-spring-boot,sample.actuator.sampleactuatorapplicationtests.testtrace,0.0,"['new', 'this', 'class', 'new', 'this', 'class', 'public', 'void', 'throws']",False
279,607.0,0.0,spring-projects-spring-boot,sample.integration.consumer.sampleintegrationapplicationtests.testvanillaexchange,0.0,"['class', 'public', 'void', 'throws']",True
293,626.0,0.0,spring-projects-spring-boot,sample.ui.secure.samplewebsecurecustomapplicationtests.testhome,0.0,"['new', 'new', 'this', 'new', 'class', 'public', 'void', 'throws']",False
311,639.0,0.0,spring-projects-spring-boot,sample.flyway.sampleflywayapplicationtests.testdefaultsettings,0.0,"['new', 'this', 'class', 'public', 'void', 'throws']",False
313,643.0,0.0,spring-projects-spring-boot,sample.profile.sampleprofileapplicationtests.testgoodbyeprofile,0.0,"['new', 'this', 'public', 'void', 'throws']",False
314,644.0,0.0,spring-projects-spring-boot,sample.profile.sampleprofileapplicationtests.testgenericprofile,0.0,"['new', 'this', 'public', 'void', 'throws']",False
317,649.0,0.0,spring-projects-spring-boot,sample.simple.samplesimpleapplicationtests.testcommandlineoverrides,0.0,"['new', 'this', 'public', 'void', 'throws']",False
319,651.0,0.0,spring-projects-spring-boot,samples.websocket.snake.snaketimertests.removedysfunctionalsnakes,0.0,"['class', 'new', 'public', 'void', 'throws']",False
330,667.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.defaulterrorattributestests.specificstatuscode,0.0,"['this', 'this', 'this', 'false', 'public', 'void', 'throws']",False
361,701.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.serverpropertiestests.testcustomizetomcatheadersize,0.0,"['new', 'this', 'public', 'void', 'throws']",False
370,712.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.webmvcautoconfigurationtests.resourcehandlermappingdisabled,0.0,"['this', 'new', 'this', 'false', 'this', 'class', 'class', 'class', 'class', 'this', 'public', 'void', 'throws']",False
372,714.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.web.webmvcautoconfigurationtests.overridelocale,0.0,"['this', 'new', 'this', 'this', 'class', 'class', 'class', 'class', 'class', 'this', 'new', 'this', 'class', 'class', 'public', 'void', 'throws']",False
419,771.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.freemarker.freemarkerautoconfigurationtests.defaultviewresolution,0.0,"['public', 'void', 'throws']",False
427,779.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.freemarker.freemarkerautoconfigurationtests.rendernonwebapptemplate,0.0,"['new', 'class', 'try', 'class', 'new', 'this', 'finally', 'public', 'void', 'throws']",False
453,815.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.orm.jpa.hibernatejpaautoconfigurationtests.testliquibaseplusvalidation,1.0,"['this', 'false', 'this', 'class', 'this', 'public', 'void', 'throws']",False
456,818.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.messagesourceautoconfigurationtests.testdefaultmessagesource,0.0,"['this', 'new', 'this', 'class', 'class', 'this', 'this', 'null', 'public', 'void', 'throws']",False
462,826.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.propertyplaceholderautoconfigurationtests.propertyplaceholdersoverride,0.0,"['this', 'class', 'class', 'class', 'this', 'this', 'this', 'class', 'public', 'void', 'throws']",False
481,851.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.batch.batchautoconfigurationtests.testdisableschemaloader,0.0,"['this', 'new', 'this', 'false', 'this', 'class', 'class', 'class', 'class', 'this', 'this', 'class', 'this', 'class', 'new', 'this', 'class', 'public', 'void', 'throws']",False
486,859.0,1.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.batch.joblaunchercommandlinerunnertests.retryfailedexecutionwithnonidentifyingparameters,0.0,"['this', 'this', 'this', 'new', 'public', 'throws', 'throw', 'new', 'new', 'new', 'false', 'false', 'this', 'this', 'this', 'this', 'this', 'public', 'void', 'throws']",False
507,885.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.security.securitypropertiestests.testbindingignoredmultivaluedlist,0.0,"['new', 'this', 'new', 'this', 'this', 'this', 'public', 'void']",False
515,893.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.redis.redisautoconfigurationtests.testredisconfigurationwithpool,0.0,"['this', 'new', 'this', 'this', 'this', 'class', 'class', 'this', 'this', 'class', 'this', 'class', 'public', 'void', 'throws']",False
517,899.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.liquibase.liquibaseautoconfigurationtests.testnodatasource,0.0,"['this', 'class', 'class', 'this', 'this', 'class', 'public', 'void', 'throws']",False
532,918.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.thymeleaf.thymeleafautoconfigurationtests.overrideviewnames,0.0,"['this', 'this', 'class', 'class', 'this', 'this', 'class', 'new', 'public', 'void', 'throws']",False
541,927.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.thymeleaf.thymeleaftemplateavailabilityprovidertests.availabilityoftemplatewithcustomprefix,0.0,"['this', 'this', 'this', 'this', 'public', 'void']",False
550,936.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.amqp.rabbitpropertiestests.testdefaultvirtualhost,0.0,"['this', 'this', 'public', 'void']",False
560,947.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.amqp.rabbitautoconfigurationtests.testconnectionfactorybackoff,0.0,"['class', 'this', 'class', 'this', 'class', 'public', 'void']",False
562,949.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.amqp.rabbitautoconfigurationtests.testrabbitmessagingtemplatebackoff,0.0,"['class', 'this', 'class', 'public', 'void']",False
563,950.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.amqp.rabbitautoconfigurationtests.teststaticqueues,0.0,"['class', 'false', 'this', 'class', 'this', 'this', 'class', 'public', 'void']",False
605,999.0,0.0,spring-projects-spring-boot,org.springframework.boot.autoconfigure.jms.jmsautoconfigurationtests.enablejmsautomatically,0.0,"['class', 'this', 'public', 'void', 'throws']",False
