,tn,fp,fn,tp,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_roc_score
0,255.0,2.0,0.0,2.0,0.5,1.0,0.9922779922779923,0.015444015444015444,0.6666666666666666,0.7043500191072208,0.9922178988326849
1,257.0,0.0,1.0,1.0,1.0,0.5,0.9961389961389961,0.003861003861003861,0.6666666666666666,0.7057350887577264,0.7285992217898832
2,256.0,1.0,1.0,1.0,0.5,0.5,0.9922779922779923,0.007722007722007722,0.5,0.4961089494163424,0.7198443579766537
3,257.0,0.0,1.0,0.0,0.0,0.0,0.9961240310077519,0.0,0.0,0.0,0.9902723735408561
4,256.0,1.0,1.0,0.0,0.0,0.0,0.9922480620155039,0.003875968992248062,0.0,-0.0038910505836575876,0.45330739299610895
5,255.0,2.0,1.0,0.0,0.0,0.0,0.9883720930232558,0.007751937984496124,0.0,-0.005513513642390386,0.9883268482490273
6,257.0,0.0,1.0,0.0,0.0,0.0,0.9961240310077519,0.0,0.0,0.0,0.4727626459143969
7,255.0,1.0,2.0,0.0,0.0,0.0,0.9883720930232558,0.003875968992248062,0.0,-0.005513513642390386,0.697265625
8,254.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.9883720930232558,0.011627906976744186,0.4,0.4026566191448695,0.9375
9,256.0,0.0,2.0,0.0,0.0,0.0,0.9922480620155039,0.0,0.0,0.0,0.453125
10,2558.0,9.0,11.0,5.0,0.23333333333333334,0.25,0.9922555445811261,0.005415880997276346,0.22333333333333333,0.22939325985577205,0.7433221364299611
