,id,nameProject,testCase,isFlaky,prediction
7,7.0,incubator-dubbo,org.apache.dubbo.config.MethodConfigTest.testStat,False,False
32,7.0,incubator-dubbo,org.apache.dubbo.config.ConsumerConfigTest.testClient,False,False
35,7.0,incubator-dubbo,org.apache.dubbo.config.ArgumentConfigTest.testCallback,False,False
36,7.0,incubator-dubbo,org.apache.dubbo.config.ArgumentConfigTest.testArguments,False,False
44,7.0,incubator-dubbo,org.apache.dubbo.config.RegistryConfigTest.testTransporter,False,False
68,7.0,incubator-dubbo,org.apache.dubbo.config.ProviderConfigTest.testBuffer,False,False
69,7.0,incubator-dubbo,org.apache.dubbo.config.ProviderConfigTest.testServer,False,False
72,7.0,incubator-dubbo,org.apache.dubbo.config.ProviderConfigTest.testDispatcher,False,False
75,7.0,incubator-dubbo,org.apache.dubbo.config.ReferenceConfigTest.testInjvm,False,False
87,7.0,incubator-dubbo,org.apache.dubbo.config.ProtocolConfigTest.testDefault,False,False
118,8.0,incubator-dubbo,org.apache.dubbo.remoting.p2p.exchange.support.MulticastExchangeNetworkerTest.testJoin,False,False
120,8.0,incubator-dubbo,org.apache.dubbo.remoting.zookeeper.support.AbstractZookeeperTransporterTest.testZookeeperClient,False,False
134,8.0,incubator-dubbo,org.apache.dubbo.remoting.zookeeper.curator.CuratorZookeeperClientTest.process,False,False
140,8.0,incubator-dubbo,org.apache.dubbo.remoting.zookeeper.curator.CuratorZookeeperClientTest.testCreateContent4Persistent,False,False
144,8.0,incubator-dubbo,org.apache.dubbo.remoting.transport.netty.NettyClientTest.main,False,False
145,8.0,incubator-dubbo,org.apache.dubbo.remoting.transport.netty.NettyClientTest.testClientClose,False,False
151,8.0,incubator-dubbo,org.apache.dubbo.remoting.exchange.support.header.HeaderExchangeChannelTest.getUrl,False,False
162,8.0,incubator-dubbo,org.apache.dubbo.remoting.exchange.support.header.HeaderExchangeChannelTest.requestTest01,False,False
165,8.0,incubator-dubbo,org.apache.dubbo.remoting.exchange.support.header.HeaderExchangeChannelTest.isClosedTest,False,False
183,8.0,incubator-dubbo,org.apache.dubbo.remoting.transport.netty4.NettyTransporterTest.shouldConnectToNetty4Server,False,False
197,8.0,incubator-dubbo,org.apache.dubbo.remoting.etcd.jetcd.JEtcdClientWrapperTest.test_create_emerphal_path_then_timeout,False,False
216,8.0,incubator-dubbo,org.apache.dubbo.remoting.etcd.jetcd.JEtcdClientTest.test_watch_after_client_closed,False,False
228,8.0,incubator-dubbo,org.apache.dubbo.remoting.buffer.AbstractChannelBufferTest.writerIndexBoundaryCheck1,False,False
250,8.0,incubator-dubbo,org.apache.dubbo.remoting.buffer.AbstractChannelBufferTest.testRandomByteArrayTransfer1,False,False
254,8.0,incubator-dubbo,org.apache.dubbo.remoting.buffer.AbstractChannelBufferTest.testRandomDirectBufferTransfer,False,False
260,8.0,incubator-dubbo,org.apache.dubbo.remoting.buffer.AbstractChannelBufferTest.testSequentialDirectBufferTransfer1,False,False
261,8.0,incubator-dubbo,org.apache.dubbo.remoting.buffer.AbstractChannelBufferTest.testSequentialDirectBufferTransfer2,False,False
284,8.0,incubator-dubbo,org.apache.dubbo.remoting.codec.TelnetCodecTest.byteToObject,False,False
298,8.0,incubator-dubbo,org.apache.dubbo.remoting.codec.TelnetCodecTest.testDecode_Person_ObjectOnly,False,False
299,8.0,incubator-dubbo,org.apache.dubbo.remoting.codec.TelnetCodecTest.testDecode_Person_WithEnter,False,False
304,8.0,incubator-dubbo,org.apache.dubbo.remoting.codec.TelnetCodecTest.testDecode_UPorDOWN_WithError,False,False
330,8.0,incubator-dubbo,org.apache.dubbo.remoting.codec.ExchangeCodecTest.testMessageLengthGreaterThanMessageActualLength,False,False
338,8.0,incubator-dubbo,org.apache.dubbo.remoting.handler.HeaderExchangeHandlerTest.test_received_request_twoway_error_nullhandler,False,False
349,8.0,incubator-dubbo,org.apache.dubbo.remoting.handler.WrappedChannelHandlerTest.test_Execute_Error,False,False
361,15.0,incubator-dubbo,org.apache.dubbo.container.logback.LogbackContainerTest.testContainer,False,False
370,18.0,incubator-dubbo,org.apache.dubbo.registry.support.AbstractRegistryFactoryTest.unregister,False,False
378,18.0,incubator-dubbo,org.apache.dubbo.registry.support.AbstractRegistryFactoryTest.isAvailable,False,False
393,18.0,incubator-dubbo,org.apache.dubbo.registry.support.AbstractRegistryTest.testUnregisterIfUrlNull,False,False
407,18.0,incubator-dubbo,org.apache.dubbo.registry.support.AbstractRegistryTest.testNotifyArgs,False,False
408,18.0,incubator-dubbo,org.apache.dubbo.registry.support.AbstractRegistryTest.filterEmptyTest,False,False
419,18.0,incubator-dubbo,org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListenerTest.onEvent,False,False
422,18.0,incubator-dubbo,org.apache.dubbo.registry.client.event.listener.LoggingEventListenerTest.testOnEvent,False,False
428,18.0,incubator-dubbo,org.apache.dubbo.registry.client.ServiceDiscoveryTest.testGetInstances,False,False
457,18.0,incubator-dubbo,org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testDefaultPort,False,False
460,18.0,incubator-dubbo,org.apache.dubbo.registry.dubbo.RegistryProtocolTest.testNotifyOverride_notmatch,True,True
470,18.0,incubator-dubbo,org.apache.dubbo.registry.dubbo.DubboRegistryTest.getRegisteredSize,False,False
483,18.0,incubator-dubbo,org.apache.dubbo.registry.dubbo.RegistryDirectoryTest.test_Notified1invokers,False,False
488,18.0,incubator-dubbo,org.apache.dubbo.registry.dubbo.RegistryDirectoryTest.testDestroy_WithDestroyRegistry,False,False
493,18.0,incubator-dubbo,org.apache.dubbo.registry.dubbo.RegistryDirectoryTest.testNotifyRouterUrls,False,False
494,18.0,incubator-dubbo,org.apache.dubbo.registry.dubbo.RegistryDirectoryTest.testNotifyoverrideUrls_beforeInvoker,False,False
498,18.0,incubator-dubbo,org.apache.dubbo.registry.dubbo.RegistryDirectoryTest.testNofityOverrideUrls_Provider,False,False
